Symbol,Atomic Number,Electronegativity,Atomic Radii (pm),Thermal Conductivity,Density,Crystal System
Nb,41,1.6,198,54,8.57,Body Centered Cubic
Mo,42,2.16,190,139,10.2,Body Centered Cubic
Tc,43,1.9,183,51,11.5,Simple Hexagonal
Ru,44,2.2,178,120,12.4,Simple Hexagonal
Rh,45,2.28,173,150,12.4,Face Centered Cubic
Pd,46,2.2,169,72,12,Face Centered Cubic
Ag,47,1.93,165,430,10.5,Face Centered Cubic
Cd,48,1.69,161,97,8.69,Simple Hexagonal
In,49,1.78,156,82,7.31,Centered Tetragonal
Sn,50,1.96,145,67,7.29,Centered Tetragonal
Sb,51,2.05,133,24,6.69,Simple Trigonal
Te,52,2.1,123,3,6.23,Simple Trigonal
I,53,2.66,115,0.449,4.93,Base Centered Orthorhombic
Xe,54,,108,0.00565,0.00589,Face Centered Cubic
Cs,55,0.79,298,36,1.87,Body Centered Cubic
Ba,56,0.89,253,18,3.59,Body Centered Cubic
La,57,1.1,226,13,6.15,Simple Hexagonal
Ce,58,1.12,210,11,6.77,Simple Hexagonal
Pr,59,1.13,247,13,6.77,Simple Hexagonal
Nd,60,1.14,206,17,7.01,Simple Hexagonal
Pm,61,1.13,205,15,7.26,Simple Hexagonal
Sm,62,1.17,238,13,7.52,Simple Trigonal
Eu,63,1.2,231,14,5.24,Body Centered Cubic
Gd,64,1.2,233,11,7.9,Simple Hexagonal
Tb,65,1.2,225,11,8.23,Simple Hexagonal
Dy,66,1.22,228,11,8.55,Simple Hexagonal
Ho,67,1.23,226,16,8.8,Simple Hexagonal
Er,68,1.24,226,15,9.07,Simple Hexagonal
Tm,69,1.25,222,17,9.32,Simple Hexagonal
Yb,70,1.1,222,39,6.97,Face Centered Cubic
Lu,71,1.27,217,16,9.84,Simple Hexagonal
Hf,72,1.3,208,23,13.3,Simple Hexagonal
Ta,73,1.5,200,57,16.7,Body Centered Cubic
W,74,2.36,193,170,19.3,Body Centered Cubic
Re,75,1.9,188,48,21,Simple Hexagonal
Os,76,2.2,185,88,22.6,Simple Hexagonal
Ir,77,2.2,180,150,22.6,Face Centered Cubic
Pt,78,2.28,177,72,21.5,Face Centered Cubic
Au,79,2.54,174,320,19.3,Face Centered Cubic
Hg,80,2,171,8.3,13.5,Simple Trigonal
Tl,81,2.04,156,46,11.9,Simple Hexagonal
Pb,82,2.33,154,35,11.3,Face Centered Cubic
Bi,83,2.02,143,8,9.81,Base Centered Monoclinic
Po,84,2,135,,9.32,Simple Cubic
At,85,2.2,127,2,7,Face Centered Cubic
Rn,86,,120,0.00361,0.00973,Face Centered Cubic
Fr,87,0.7,,,1.87,Body Centered Cubic
Ra,88,0.9,,19,5.5,Body Centered Cubic
Ac,89,1.1,,12,10.1,Face Centered Cubic
Th,90,1.3,,54,11.7,Face Centered Cubic
Pa,91,1.5,,47,15.4,Centered Tetragonal
U,92,1.38,,27,19,Base Centered Orthorhombic
Np,93,1.36,,6,20.5,Simple Orthorhombic
Pu,94,1.28,,6,19.8,Simple Monoclinic
Am,95,1.3,,10,13.7,Simple Hexagonal
Cm,96,1.3,,,13.5,Simple Hexagonal
Bk,97,1.3,,10,14.8,Simple Hexagonal
Cf,98,1.3,,,15.1,Simple Hexagonal
Es,99,1.3,,,13.5,Face Centered Cubic
Fm,100,1.3,,,,Body Centered Cubic
Md,101,1.3,,,,Face Centered Cubic
No,102,1.3,,,,Face Centered Cubic
Lr,103,,,,,Simple Hexagonal
Rf,104,,,,18.1,Simple Hexagonal
Db,105,,,,39,Body Centered Cubic
Sg,106,,,,35,Body Centered Cubic
Bh,107,,,,37,Simple Hexagonal
Hs,108,,,,41,Simple Hexagonal
Mt,109,,,,35,Face Centered Cubic
Ds,110,,,,,Body Centered Cubic
Rg,111,,,,,Body Centered Cubic
Cn,112,,,,,Simple Hexagonal
Nh,113,,,,,
Fl,114,,,,,
Mc,115,,,,,
Lv,116,,,,,
Ts,117,,,,,
Og,118,,,,,Face Centered Cubic
